County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
SUSQUEHANNA,134.4525476,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,58,58,42,115,"(41.8205685982, -75.8025030296)","2,466",321,89,21,44
BUCKS,157.0356913,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,9,09,42,017,"(40.335011331, -75.1129124111)",430,22,145,40,35
SNYDER,153.4545814,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,55,55,42,109,"(40.7711373692, -77.0725596804)","2,255",254,72,22,65
CENTRE,99.45870287,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,14,14,42,027,"(40.9193135008, -77.8250011212)","1,790",37,74,18,5
CUMBERLAND,167.9557033,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,21,21,42,041,"(40.167598388, -77.268662705)","2,128",146,40,20,17
ELK,212.4671916,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
UNION,"6,351",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,60,60,42,119,"(40.9647313096, -77.0641580308)","1,979",296,72,21,49
ALLEGHENY,198.3180522,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,2,02,42,003,"(40.4673554298, -79.9861984282)","2,158",324,163,6,40
COLUMBIA,193.0141524,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,19,19,42,037,"(41.0491208559, -76.4100217975)","1,073",24,90,22,10
LEHIGH,190.6776044,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,39,39,42,077,"(40.6146479416, -75.6009948118)",506,336,115,36,26
ADAMS,108.3871599,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,1,01,42,001,"(39.8720956503, -77.2222427076)","1,949",92,35,19,39
LACKAWANNA,334.1835407,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,35,35,42,069,"(41.4391006428, -75.6121834524)","1,283",253,125,34,22
BEDFORD,163.2074496,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,5,05,42,009,"(40.0073753643, -78.4911647381)","1,549",3,31,16,43
WYOMING,156.7166891,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,66,66,42,131,"(41.5189248803, -76.0181300338)","2,460",444,91,29,11
SULLIVAN,85.54668405,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,57,57,42,113,"(41.4480993958, -76.5147922046)","1,389",416,88,21,67
BRADFORD,214.8757611,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,8,08,42,015,"(41.7911781401, -76.5182562384)",442,349,88,21,34
CLEARFIELD,"14,144",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,17,17,42,033,"(41.0004290024, -78.4755834299)",276,141,19,16,8
FOREST,659,Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,27,27,42,053,"(41.5135787577, -79.2378099483)",207,186,60,5,32
PENNSYLVANIA,193.1977585,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,0,00,42,000,"(39.346129, -75.167756)",,,,,
UNION,145.5503127,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,60,60,42,119,"(40.9647313096, -77.0641580308)","1,979",296,72,21,49
FOREST,97.93744024,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,27,27,42,053,"(41.5135787577, -79.2378099483)",207,186,60,5,32
MCKEAN,224.0049662,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,42,42,42,083,"(41.810370736, -78.5712201998)","1,778",424,14,14,47
CENTRE,117.3883962,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,14,14,42,027,"(40.9193135008, -77.8250011212)","1,790",37,74,18,5
ERIE,218.5208919,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,25,25,42,049,"(41.9941378702, -80.0407591036)","1,153",163,52,3,30
PENNSYLVANIA,"2,233,279",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,0,00,42,000,"(39.346129, -75.167756)",,,,,
ELK,"5,544",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
POTTER,124.2522949,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,53,53,42,105,"(41.7442064382, -77.8987922939)","2,155",58,14,14,63
CHESTER,"62,515",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,15,15,42,029,"(39.9748705566, -75.7562649818)","2,415",69,147,32,6
MIFFLIN,239.3077554,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,44,44,42,087,"(40.6127492804, -77.6200308901)",587,295,36,18,55
DAUPHIN,"46,808",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,22,22,42,043,"(40.4197463597, -76.7796056802)","2,368",25,41,23,18
FRANKLIN,194.5843706,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,28,28,42,055,"(39.9278619704, -77.7239884483)",380,19,33,19,33
WYOMING,198.0305948,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,66,66,42,131,"(41.5189248803, -76.0181300338)","2,460",444,91,29,11
WYOMING,137.3859961,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,66,66,42,131,"(41.5189248803, -76.0181300338)","2,460",444,91,29,11
BERKS,137.9757577,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,6,06,42,011,"(40.4193963513, -75.9307732705)",191,435,46,27,45
MONTOUR,292.2095622,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,47,47,42,093,"(41.0280182438, -76.6647052668)",963,64,54,22,58
SNYDER,135.5391915,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,55,55,42,109,"(40.7711373692, -77.0725596804)","2,255",254,72,22,65
ELK,217.5853018,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
JEFFERSON,251.6733601,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,33,33,42,065,"(41.1313909115, -79.0010181419)","1,361",107,16,14,20
ERIE,"56,776",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,25,25,42,049,"(41.9941378702, -80.0407591036)","1,153",163,52,3,30
MERCER,220.993154,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,43,43,42,085,"(41.302377765, -80.2600941079)","1,048",300,48,3,54
MIFFLIN,208.8170558,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,44,44,42,087,"(40.6127492804, -77.6200308901)",587,295,36,18,55
JUNIATA,119.2535092,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,34,34,42,067,"(40.5343300836, -77.405775001)",53,201,36,18,21
BLAIR,341.5724027,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,7,07,42,013,"(40.4855502384, -78.349076871)",294,268,28,17,46
YORK,"60,581",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,67,67,42,133,"(39.9219253124, -76.7257605231)",470,43,136,24,12
MONTOUR,336.4771302,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,47,47,42,093,"(41.0280182438, -76.6647052668)",963,64,54,22,58
NORTHAMPTON,184.9954018,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,48,48,42,095,"(40.754595404, -75.3126372576)","1,339",280,113,38,59
MONTGOMERY,162.6833795,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,46,46,42,091,"(40.209898739, -75.3725200072)","1,082",249,152,33,57
ERIE,"51,906",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,25,25,42,049,"(41.9941378702, -80.0407591036)","1,153",163,52,3,30
SOMERSET,"13,170",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,56,56,42,111,"(39.9714629901, -79.0310020611)",799,428,30,1,66
MONTGOMERY,166.6384739,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,46,46,42,091,"(40.209898739, -75.3725200072)","1,082",249,152,33,57
ALLEGHENY,234.4346378,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,2,02,42,003,"(40.4673554298, -79.9861984282)","2,158",324,163,6,40
CRAWFORD,258.1123851,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,20,20,42,039,"(41.6854690692, -80.1132108295)","1,995",344,47,3,16
BRADFORD,"12,329",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,8,08,42,015,"(41.7911781401, -76.5182562384)",442,349,88,21,34
POTTER,"2,059",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,53,53,42,105,"(41.7442064382, -77.8987922939)","2,155",58,14,14,63
NORTHUMBERLAND,232.6644406,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,49,49,42,097,"(40.8515092572, -76.7118842273)","2,094",375,73,22,60
MONTOUR,281.3062204,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,47,47,42,093,"(41.0280182438, -76.6647052668)",963,64,54,22,58
COLUMBIA,210.4336043,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,19,19,42,037,"(41.0491208559, -76.4100217975)","1,073",24,90,22,10
PHILADELPHIA,171.7047055,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,51,51,42,101,"(40.0044435384, -75.140236002)","1,069",365,182,46,13
BEDFORD,145.990688,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,5,05,42,009,"(40.0073753643, -78.4911647381)","1,549",3,31,16,43
CLEARFIELD,227.6912006,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,17,17,42,033,"(41.0004290024, -78.4755834299)",276,141,19,16,8
VENANGO,178.0076832,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,61,61,42,121,"(41.4034125863, -79.7628656104)","1,400",71,45,5,50
WASHINGTON,237.5601617,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,63,63,42,125,"(40.1910966345, -80.2518008276)","1,132",351,4,12,52
SOMERSET,175.4572947,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,56,56,42,111,"(39.9714629901, -79.0310020611)",799,428,30,1,66
MONTGOMERY,152.3684931,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,46,46,42,091,"(40.209898739, -75.3725200072)","1,082",249,152,33,57
DAUPHIN,194.9822255,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,22,22,42,043,"(40.4197463597, -76.7796056802)","2,368",25,41,23,18
NORTHAMPTON,180.7214169,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,48,48,42,095,"(40.754595404, -75.3126372576)","1,339",280,113,38,59
POTTER,129.6416938,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,53,53,42,105,"(41.7442064382, -77.8987922939)","2,155",58,14,14,63
MCKEAN,"8,585",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,42,42,42,083,"(41.810370736, -78.5712201998)","1,778",424,14,14,47
JUNIATA,140.2485621,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,34,34,42,067,"(40.5343300836, -77.405775001)",53,201,36,18,21
INDIANA,292.8882405,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,32,32,42,063,"(40.6529549748, -79.0933349286)",415,269,27,15,19
CENTRE,108.8106327,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,14,14,42,027,"(40.9193135008, -77.8250011212)","1,790",37,74,18,5
ADAMS,123.0769231,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,1,01,42,001,"(39.8720956503, -77.2222427076)","1,949",92,35,19,39
MONTOUR,316.5785313,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,47,47,42,093,"(41.0280182438, -76.6647052668)",963,64,54,22,58
DAUPHIN,"39,975",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,22,22,42,043,"(40.4197463597, -76.7796056802)","2,368",25,41,23,18
CAMERON,218.5161428,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,12,12,42,023,"(41.4388026531, -78.2091693241)","1,009",105,14,14,3
ELK,249.3110236,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,24,24,42,047,"(41.4281941606, -78.6494771322)","1,258",405,15,14,29
MIFFLIN,267.1226965,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,44,44,42,087,"(40.6127492804, -77.6200308901)",587,295,36,18,55
NORTHAMPTON,166.0502689,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,48,48,42,095,"(40.754595404, -75.3126372576)","1,339",280,113,38,59
CHESTER,119.7919088,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,15,15,42,029,"(39.9748705566, -75.7562649818)","2,415",69,147,32,6
ADAMS,"10,852",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,1,01,42,001,"(39.8720956503, -77.2222427076)","1,949",92,35,19,39
SUSQUEHANNA,126.6213108,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,58,58,42,115,"(41.8205685982, -75.8025030296)","2,466",321,89,21,44
SOMERSET,142.8171754,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,56,56,42,111,"(39.9714629901, -79.0310020611)",799,428,30,1,66
WAYNE,"10,039",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,64,64,42,127,"(41.6496980525, -75.3051535022)","1,928",433,89,29,53
NORTHAMPTON,"48,596",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,48,48,42,095,"(40.754595404, -75.3126372576)","1,339",280,113,38,59
FRANKLIN,178.73137,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,28,28,42,055,"(39.9278619704, -77.7239884483)",380,19,33,19,33
NORTHUMBERLAND,226.6887109,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,49,49,42,097,"(40.8515092572, -76.7118842273)","2,094",375,73,22,60
SCHUYLKILL,192.9332117,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,54,54,42,107,"(40.707512431, -76.223323851)","1,343",304,127,27,64
FRANKLIN,151.5362266,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,28,28,42,055,"(39.9278619704, -77.7239884483)",380,19,33,19,33
LAWRENCE,204.3553967,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,37,37,42,073,"(40.9932503514, -80.3375411446)",622,231,22,2,27
BERKS,"56,661",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,6,06,42,011,"(40.4193963513, -75.9307732705)",191,435,46,27,45
MERCER,264.3716844,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,43,43,42,085,"(41.302377765, -80.2600941079)","1,048",300,48,3,54
CARBON,182.6744661,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,13,13,42,025,"(40.9193670081, -75.7110703866)",688,199,108,30,4
BERKS,133.4411734,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,6,06,42,011,"(40.4193963513, -75.9307732705)",191,435,46,27,45
BUTLER,"43,539",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,10,10,42,019,"(40.9108318483, -79.9171177889)",738,100,12,5,1
YORK,147.8104493,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,67,67,42,133,"(39.9219253124, -76.7257605231)",470,43,136,24,12
CAMERON,204.1907205,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,12,12,42,023,"(41.4388026531, -78.2091693241)","1,009",105,14,14,3
ARMSTRONG,225.3105917,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,3,03,42,005,"(40.8150952555, -79.4731689893)",834,106,11,15,41
CENTRE,115.2764703,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,14,14,42,027,"(40.9193135008, -77.8250011212)","1,790",37,74,18,5
ADAMS,136.3476218,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,1,01,42,001,"(39.8720956503, -77.2222427076)","1,949",92,35,19,39
WARREN,"6,194",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,62,62,42,123,"(41.8167523652, -79.278581578)","1,741",234,60,5,51
BUTLER,"41,805",Opioids (All Schedules),Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,10,10,42,019,"(40.9108318483, -79.9171177889)",738,100,12,5,1
COLUMBIA,193.5862692,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,19,19,42,037,"(41.0491208559, -76.4100217975)","1,073",24,90,22,10
CLEARFIELD,206.5735272,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,17,17,42,033,"(41.0004290024, -78.4755834299)",276,141,19,16,8
WASHINGTON,175.9776133,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,63,63,42,125,"(40.1910966345, -80.2518008276)","1,132",351,4,12,52
ALLEGHENY,262.6188931,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,2,02,42,003,"(40.4673554298, -79.9861984282)","2,158",324,163,6,40
BERKS,147.8428782,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,6,06,42,011,"(40.4193963513, -75.9307732705)",191,435,46,27,45
SNYDER,151.5024217,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,55,55,42,109,"(40.7711373692, -77.0725596804)","2,255",254,72,22,65
PHILADELPHIA,135.6214028,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,51,51,42,101,"(40.0044435384, -75.140236002)","1,069",365,182,46,13
CAMERON,173.6155655,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,12,12,42,023,"(41.4388026531, -78.2091693241)","1,009",105,14,14,3
WYOMING,145.8885942,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,66,66,42,131,"(41.5189248803, -76.0181300338)","2,460",444,91,29,11
CARBON,160.2981413,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,13,13,42,025,"(40.9193670081, -75.7110703866)",688,199,108,30,4
LEHIGH,186.4203752,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,39,39,42,077,"(40.6146479416, -75.6009948118)",506,336,115,36,26
SULLIVAN,101.5153984,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,57,57,42,113,"(41.4480993958, -76.5147922046)","1,389",416,88,21,67
WAYNE,192.9008085,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,64,64,42,127,"(41.6496980525, -75.3051535022)","1,928",433,89,29,53
CUMBERLAND,186.3536494,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,21,21,42,041,"(40.167598388, -77.268662705)","2,128",146,40,20,17
LEBANON,153.1581487,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,38,38,42,075,"(40.3675970024, -76.4618257486)",371,44,130,28,25
PENNSYLVANIA,"2,157,221",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,0,00,42,000,"(39.346129, -75.167756)",,,,,
LANCASTER,131.3574745,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,36,36,42,071,"(40.0459079619, -76.2513876838)",222,74,144,25,23
TIOGA,179.9744375,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,59,59,42,117,"(41.7733383358, -77.2578807579)",97,477,77,14,48
CUMBERLAND,162.9014994,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,21,21,42,041,"(40.167598388, -77.268662705)","2,128",146,40,20,17
PERRY,136.9707551,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,50,50,42,099,"(40.4041531744, -77.2590738496)","1,648",485,37,23,61
MONROE,186.4682296,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,45,45,42,089,"(41.0609178653, -75.3408360302)",912,362,121,38,56
CAMERON,812,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2018,2018 Q1,01/01/2018,12,12,42,023,"(41.4388026531, -78.2091693241)","1,009",105,14,14,3
SNYDER,"5,686",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q3,07/01/2017,55,55,42,109,"(40.7711373692, -77.0725596804)","2,255",254,72,22,65
PIKE,114.5027177,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,52,52,42,103,"(41.332571995, -75.0327092448)","1,997",169,109,29,62
CAMBRIA,"30,634",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,11,11,42,021,"(40.4912749067, -78.7189417385)","1,228",23,20,16,2
ARMSTRONG,232.0187709,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,3,03,42,005,"(40.8150952555, -79.4731689893)",834,106,11,15,41
MCKEAN,236.7547692,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,42,42,42,083,"(41.810370736, -78.5712201998)","1,778",424,14,14,47
LEHIGH,"66,089",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,39,39,42,077,"(40.6146479416, -75.6009948118)",506,336,115,36,26
