Link-Statewide,Class,Count,County,Dashboard,Link-PDMPNotes,Link-OverdoseNotes,Link-Contact,Link-Emergency,Measure1,Notes,Number of Records,Link-Controlled,Time Measure,Time Period
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,ADAMS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,ARMSTRONG,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,BEDFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,BRADFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,CENTRE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,CLARION,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,ELK,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,FRANKLIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,FULTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,GREENE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,LAWRENCE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,MC KEAN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,MONTOUR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,NORTHUMBERLAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,SUSQUEHANNA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,UNION,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,VENANGO,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Heroin Overdose,,WARREN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,Suppressed due to count <5,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q1
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.535947712,ADAMS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.042267051,ALLEGHENY,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.765342960,ARMSTRONG,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.085457912,BEAVER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.656311529,BEDFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.864348678,BERKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.696365984,BLAIR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.299244408,BRADFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.078157525,BUCKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.576344086,BUTLER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.893240984,CAMBRIA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.280968468,CARBON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.259445844,CENTRE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.478468900,CLARION,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.581395349,CRAWFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.902672267,CUMBERLAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.917685134,DAUPHIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.448297754,DELAWARE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.316205534,ELK,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.973887638,FAYETTE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.661940999,FRANKLIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.047120419,FULTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.442043222,GREENE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.484076433,HUNTINGDON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.597047330,INDIANA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.879513292,LACKAWANNA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.879705401,LAWRENCE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.696346139,LEBANON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.909335647,LEHIGH,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.335882931,LUZERNE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.797729950,LYCOMING,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.423513468,MC KEAN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.817619705,MERCER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.326340326,MIFFLIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.486364426,MONTOUR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.622162435,NORTHUMBERLAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.807438219,SCHUYLKILL,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.421725240,SOMERSET,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.925884644,STATE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.450450450,SUSQUEHANNA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.728763380,TIOGA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.620193500,UNION,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.598476605,VENANGO,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.266276128,WARREN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.137715056,WASHINGTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.679578661,WAYNE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.778916323,WESTMORELAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.065359477,ADAMS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.328743729,ALLEGHENY,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.144404332,ARMSTRONG,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,BEAVER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.178746327,BERKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.161409334,BLAIR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.149447578,BUCKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.286601385,CAMBRIA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.337837838,CARBON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,CLINTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.196621682,CUMBERLAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.249116382,DAUPHIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.599158797,DELAWARE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.261732303,FAYETTE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,HUNTINGDON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.054277030,INDIANA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.089273906,LACKAWANNA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.163666121,LAWRENCE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.172130506,LEBANON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.074780892,LEHIGH,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0.414309617,LUZERNE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,LYCOMING,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
Statewide Drug Dispensation and Overdose Measures,Any Opioid Overdose,0,MC KEAN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2017 Q2
